"Местное время в Уфе / им. Мустая Карима (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2022 12:00";"-17.0";"755.7";"769.6";"85";"Переменное направление";"1";"";"Дымка";"";"Рассеянная (40-50%) 210 м";"5.0";"-19.0";
"31.12.2022 11:30";"-17.0";"755.7";"769.6";"85";"Ветер, дующий с юго-юго-запада";"1";"";"Дымка";"";"Рассеянная (40-50%) 210 м";"5.0";"-19.0";
"31.12.2022 11:00";"-13.0";"755.9";"769.6";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 210 м";"4.0";"-15.0";
"31.12.2022 10:30";"-12.0";"756.7";"770.4";"85";"Ветер, дующий с юго-юго-запада";"1";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 180 м";"2.1";"-14.0";
"31.12.2022 10:00";"-12.0";"756.7";"770.4";"85";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"2.1";"-14.0";
"31.12.2022 09:30";"-12.0";"755.9";"769.6";"85";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"2.5";"-14.0";
"31.12.2022 09:00";"-12.0";"755.9";"769.6";"85";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"4.5";"-14.0";
"31.12.2022 08:30";"-12.0";"755.9";"769.6";"85";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"4.5";"-14.0";
"31.12.2022 08:00";"-12.0";"755.9";"769.6";"85";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"4.5";"-14.0";
"31.12.2022 07:30";"-12.0";"755.9";"769.6";"85";"Ветер, дующий с юго-юго-востока";"2";"";"Дымка";"";"Сплошная (100%) 120 м";"4.5";"-14.0";
"31.12.2022 07:00";"-12.0";"755.9";"769.6";"92";"Ветер, дующий с юга";"2";"";"Дымка";"";"Сплошная (100%) 120 м";"4.5";"-13.0";
"31.12.2022 06:30";"-11.0";"756.0";"769.6";"85";"Ветер, дующий с юго-юго-запада";"3";"";"Дымка";"";"Сплошная (100%) 120 м";"4.5";"-13.0";
"31.12.2022 06:00";"-12.0";"755.9";"769.6";"92";"Ветер, дующий с юго-юго-запада";"4";"";"Дымка";"";"Сплошная (100%) 120 м";"4.5";"-13.0";
"31.12.2022 05:30";"-14.0";"755.8";"769.6";"92";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 150 м";"10.0 и более";"-15.0";
"31.12.2022 05:00";"-12.0";"755.9";"769.6";"92";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-13.0";
"31.12.2022 04:30";"-11.0";"756.0";"769.6";"85";"Переменное направление";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-13.0";
"31.12.2022 04:00";"-12.0";"755.9";"769.6";"92";"Ветер, дующий с юга";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-13.0";
"31.12.2022 03:30";"-11.0";"756.0";"769.6";"92";"Ветер, дующий с юго-запада";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 03:00";"-11.0";"756.0";"769.6";"92";"Ветер, дующий с юго-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 02:30";"-10.0";"756.0";"769.6";"85";"Переменное направление";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 02:00";"-10.0";"755.3";"768.9";"85";"Переменное направление";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 01:30";"-10.0";"755.3";"768.9";"85";"Переменное направление";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 01:00";"-10.0";"755.3";"768.9";"85";"Ветер, дующий с юга";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 00:30";"-10.0";"755.3";"768.9";"85";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"31.12.2022 00:00";"-10.0";"755.3";"768.9";"85";"Ветер, дующий с юго-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-12.0";
"30.12.2022 23:30";"-10.0";"755.3";"768.9";"92";"Ветер, дующий с юга";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-11.0";
"30.12.2022 23:00";"-9.0";"755.4";"768.9";"86";"Ветер, дующий с юга";"2";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-11.0";
"30.12.2022 22:30";"-9.0";"754.6";"768.1";"86";"Ветер, дующий с юга";"2";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-11.0";
"30.12.2022 22:00";"-10.0";"754.6";"768.1";"92";"Ветер, дующий с юга";"2";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-11.0";
"30.12.2022 21:30";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-запада";"1";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-10.0";
"30.12.2022 21:00";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-запада";"2";"";"";"";"Сплошная (100%) 810 м";"10.0 и более";"-10.0";
"30.12.2022 20:30";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Сплошная (100%) 810 м";"10.0 и более";"-10.0";
"30.12.2022 20:00";"-8.0";"754.7";"768.1";"86";"Переменное направление";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 720 м";"10.0 и более";"-10.0";
"30.12.2022 19:30";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с востоко-юго-востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 720 м";"10.0 и более";"-10.0";
"30.12.2022 19:00";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 720 м";"10.0 и более";"-10.0";
"30.12.2022 18:30";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 720 м";"10.0 и более";"-10.0";
"30.12.2022 18:00";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Сплошная (100%) 720 м";"10.0 и более";"-10.0";
"30.12.2022 17:30";"-8.0";"754.7";"768.1";"93";"Ветер, дующий с юго-востока";"2";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"-9.0";
"30.12.2022 17:00";"-7.0";"754.7";"768.1";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"-9.0";
"30.12.2022 16:30";"-8.0";"754.7";"768.1";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"-10.0";
"30.12.2022 16:00";"-8.0";"753.9";"767.3";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-10.0";
"30.12.2022 15:30";"-9.0";"753.8";"767.3";"86";"Ветер, дующий с юго-востока";"3";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-11.0";
"30.12.2022 15:00";"-8.0";"753.9";"767.3";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-10.0";
"30.12.2022 14:30";"-7.0";"753.9";"767.3";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-9.0";
"30.12.2022 14:00";"-8.0";"753.9";"767.3";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Сплошная (100%) 600 м";"10.0 и более";"-10.0";
"30.12.2022 13:30";"-7.0";"753.9";"767.3";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 750 м";"5.0";"-9.0";
"30.12.2022 13:00";"-7.0";"753.9";"767.3";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"5.0";"-9.0";
"30.12.2022 12:30";"-7.0";"753.9";"767.3";"93";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 600 м";"3.0";"-8.0";
"30.12.2022 12:00";"-7.0";"753.9";"767.3";"86";"Ветер, дующий с юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 540 м";"2.5";"-9.0";
"30.12.2022 11:30";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 540 м";"4.0";"-9.0";
"30.12.2022 11:00";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 510 м";"2.5";"-9.0";
"30.12.2022 10:30";"-7.0";"753.2";"766.6";"93";"Ветер, дующий с востоко-юго-востока";"2";"";"Снег";"";"Сплошная (100%) 600 м";"1.8";"-8.0";
"30.12.2022 10:00";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"Снег";"";"Сплошная (100%) 600 м";"1.3";"-9.0";
"30.12.2022 09:30";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"Снег";"";"Сплошная (100%) 600 м";"1.3";"-9.0";
"30.12.2022 09:00";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Сильный(ая)(ые) снег";"";"Сплошная (100%) 510 м";"1.1";"-9.0";
"30.12.2022 08:30";"-7.0";"753.2";"766.6";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"3.0";"-8.0";
"30.12.2022 08:00";"-7.0";"753.2";"766.6";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"2.1";"-9.0";
"30.12.2022 07:30";"-7.0";"752.5";"765.8";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"2.9";"-9.0";
"30.12.2022 07:00";"-7.0";"752.5";"765.8";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"2.7";"-9.0";
"30.12.2022 06:30";"-7.0";"752.5";"765.8";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"4.0";"-9.0";
"30.12.2022 06:00";"-7.0";"752.5";"765.8";"86";"Ветер, дующий с востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"4.5";"-9.0";
"30.12.2022 05:30";"-7.0";"752.5";"765.8";"93";"Ветер, дующий с востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"4.3";"-8.0";
"30.12.2022 05:00";"-7.0";"752.5";"765.8";"93";"Ветер, дующий с востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 870 м";"4.0";"-8.0";
"30.12.2022 04:30";"-7.0";"752.5";"765.8";"93";"Ветер, дующий с востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"2.4";"-8.0";
"30.12.2022 04:00";"-7.0";"753.2";"766.6";"93";"Ветер, дующий с юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"2.5";"-8.0";
"30.12.2022 03:30";"-7.0";"753.2";"766.6";"93";"Ветер, дующий с юго-востока";"2";"";"Снег";"";"Сплошная (100%) 660 м";"2.0";"-8.0";
"30.12.2022 03:00";"-7.0";"753.2";"766.6";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"3.5";"-8.0";
"30.12.2022 02:30";"-8.0";"753.2";"766.6";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 810 м";"2.1";"-9.0";
"30.12.2022 02:00";"-8.0";"752.4";"765.8";"86";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 810 м";"2.8";"-10.0";
"30.12.2022 01:30";"-8.0";"752.4";"765.8";"86";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"4.0";"-10.0";
"30.12.2022 01:00";"-7.0";"753.2";"766.6";"79";"Ветер, дующий с юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-10.0";
"30.12.2022 00:30";"-7.0";"752.5";"765.8";"79";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-10.0";
"30.12.2022 00:00";"-7.0";"752.5";"765.8";"79";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-10.0";
"29.12.2022 23:30";"-7.0";"752.5";"765.8";"73";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 23:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-11.0";
"29.12.2022 22:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востока";"2";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-11.0";
"29.12.2022 22:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-11.0";
"29.12.2022 21:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-11.0";
"29.12.2022 21:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"29.12.2022 20:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 20:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 19:30";"-6.0";"753.3";"766.6";"68";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 19:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 18:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"29.12.2022 18:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"29.12.2022 17:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"29.12.2022 17:00";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-11.0";
"29.12.2022 16:30";"-8.0";"753.9";"767.3";"79";"Ветер, дующий с юго-востока";"3";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-11.0";
"29.12.2022 16:00";"-8.0";"753.2";"766.6";"79";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-11.0";
"29.12.2022 15:30";"-7.0";"753.2";"766.6";"73";"Ветер, дующий с юго-востока";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-11.0";
"29.12.2022 15:00";"-8.0";"753.9";"767.3";"79";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-11.0";
"29.12.2022 14:30";"-8.0";"753.9";"767.3";"73";"Ветер, дующий с юго-востока";"3";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-12.0";
"29.12.2022 14:00";"-8.0";"753.9";"767.3";"73";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-12.0";
"29.12.2022 13:30";"-7.0";"753.9";"767.3";"73";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 13:00";"-7.0";"753.9";"767.3";"79";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-10.0";
"29.12.2022 12:30";"-8.0";"753.9";"767.3";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-10.0";
"29.12.2022 12:00";"-9.0";"754.6";"768.1";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 11:30";"-9.0";"754.6";"768.1";"86";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 11:00";"-9.0";"754.6";"768.1";"86";"Ветер, дующий с востоко-юго-востока";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 10:30";"-10.0";"754.6";"768.1";"92";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-11.0";
"29.12.2022 10:00";"-10.0";"754.6";"768.1";"85";"Ветер, дующий с востока";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-12.0";
"29.12.2022 09:30";"-10.0";"754.6";"768.1";"85";"Ветер, дующий с востоко-юго-востока";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-12.0";
"29.12.2022 09:00";"-10.0";"754.6";"768.1";"85";"Ветер, дующий с востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-12.0";
"29.12.2022 08:30";"-10.0";"754.6";"768.1";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-12.0";
"29.12.2022 08:00";"-11.0";"754.5";"768.1";"92";"Ветер, дующий с востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-12.0";
"29.12.2022 07:30";"-11.0";"754.5";"768.1";"85";"Ветер, дующий с востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-13.0";
"29.12.2022 07:00";"-11.0";"754.5";"768.1";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-13.0";
"29.12.2022 06:30";"-11.0";"754.5";"768.1";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"5.0";"-13.0";
"29.12.2022 06:00";"-11.0";"754.5";"768.1";"85";"Ветер, дующий с северо-востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-13.0";
"29.12.2022 05:30";"-11.0";"754.5";"768.1";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-13.0";
"29.12.2022 05:00";"-12.0";"754.5";"768.1";"92";"Ветер, дующий с востоко-северо-востока";"1";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-13.0";
"29.12.2022 04:30";"-12.0";"754.5";"768.1";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-14.0";
"29.12.2022 04:00";"-12.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-14.0";
"29.12.2022 03:30";"-12.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-14.0";
"29.12.2022 03:00";"-12.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1140 м";"10.0 и более";"-14.0";
"29.12.2022 02:30";"-12.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"10.0 и более";"-14.0";
"29.12.2022 02:00";"-13.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"5.0";"-15.0";
"29.12.2022 01:30";"-13.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1080 м";"10.0 и более";"-15.0";
"29.12.2022 01:00";"-13.0";"755.2";"768.9";"85";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-15.0";
"29.12.2022 00:30";"-14.0";"755.1";"768.9";"85";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-16.0";
"29.12.2022 00:00";"-14.0";"755.1";"768.9";"85";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-16.0";
"28.12.2022 23:30";"-14.0";"755.1";"768.9";"85";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-16.0";
"28.12.2022 23:00";"-14.0";"755.1";"768.9";"85";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1080 м";"10.0 и более";"-16.0";
"28.12.2022 22:30";"-15.0";"755.1";"768.9";"85";"Штиль, безветрие";"0";"";"Дымка";"";"Разорванная (60-90%) 1080 м";"5.0";"-17.0";
"28.12.2022 22:00";"-15.0";"755.1";"768.9";"78";"Штиль, безветрие";"0";"";"Дымка";"";"Разорванная (60-90%) 900 м";"5.0";"-18.0";
"28.12.2022 21:30";"-16.0";"755.0";"768.9";"85";"Штиль, безветрие";"0";"";"Дымка";"";"Разорванная (60-90%) 900 м";"5.0";"-18.0";
